Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Laboratório de Computação Aplicada de Parnaíba - LaCAPa;Em preenchimento;2022;Francisco Gerson Amorim de Meneses ;Instituto Federal do Piauí - IFPI;Instituto Federal do Piauí - Campus Parnaíba;Ciências Exatas e da Terra, Ciência da Computação;PI;O IFPI Campus Parnaíba, atualmente conta com cursos de informática nos níveis médio e superior, e isto, somado à crescente demanda na região por soluções computacionais nas mais diferentes áreas, motivou a idealização deste grupo. Além do mais, já temos produzido pesquisas no Campus através da Iniciação Científica há mais de 10 anos. Portanto, a criação de um Grupo de Pesquisa na área de computação, vem a agregar, impulsionar e oficializar a produção científica na área de desenvolvimento de soluções computacionais no âmbito do IFPI Campus Parnaíba.;{"Nome":Grupo de Inteligência Artificial e Robótica do Piauí - GIARP,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Núcleo avançado de sistemas computacionais para a arqueologia - NASCA,"Q_Estudantes":3,"Q_Pesquisadores":2}|{"Nome":Núcleo de aprendizado de máquina - NUAMA,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Núcleo de pesquisa em Blockchain e aplicações descentralizadas - NBLOCK,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Núcleo de pesquisas em jogos digitais, realidade virtual e animação de personagens virtuais - NUDEJO,"Q_Estudantes":0,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/779360
Laboratório de Economia, Matemática e Computação (LEMC-FEARP/USP);Certificado - Não-atualizado há mais de 12 meses;2016;Jefferson Donizeti Pereira Bertolai ;Universidade de São Paulo - USP;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto;Ciências Sociais Aplicadas, Economia;SP;Artigos acadêmicos: "A proibição de radares móveis: eliminando o efeito surpresa da fiscalização" Autores: Jefferson Bertolai, Igor S. Costa, Luciano Nakabashi Divulgação: Revista Brasileira de Economia (aceito para publicação) Cryptocurrency is accounting coordination Autores: Fernando A. Barros Jr., Jefferson D. P. Bertolai, Matheus L. Carrijo Divulgação: Working paper (submetido para publicação) Organização de eventos: Evento: "Workshop: LEMC-FEARP/USP" Descrição: evento de encerramento das atividades anuais do LEMC-FEARP/USP. Seu objetivo é proporcionar um espaço para divulgação dos resultados obtidos pelos integrantes do LEMC na referida edição. Neste contexto, pesquisadores externos são convidados para avaliar os resultados obtidos e para apresentar palestras sobre temas de interesse do LEMC-FEARP/USP.;{"Nome":Teoria Econômica e a Realidade Brasileira,"Q_Estudantes":7,"Q_Pesquisadores":2}|{"Nome":Teoria Econômica e Moedas Digitais,"Q_Estudantes":9,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":12,"Técnicos":0,"Estrangeiros":0,"Total":12}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/662470
Laboratório de Engenharia de Software;Certificado;2019;Alcemir Rodrigues Santos;Universidade Estadual do Piauí - UESPI;;Ciências Exatas e da Terra, Ciência da Computação;PI;;{"Nome":Análise de Dados e Sistemas Inteligentes,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Engenharia de Software Empírica,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Redes de Computadores e Sistemas Distribuídos,"Q_Estudantes":2,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/783145
Laboratório de Segurança Cibernética - MackLab Cyber Security;Certificado;2023;Rodrigo Silva;Universidade Presbiteriana Mackenzie - MACKENZIE;Faculdade de Computação e Informática;Ciências Exatas e da Terra, Ciência da Computação;SP;O objetivo do MackLab Cyber Security é pesquisar, desenvolver, avaliar, projetar e implantar ferramentas e sistemas para que possam ser utilizados nas investigações científicas com robustez e segurança.;{"Nome":Criptografia e Tecnologia Blockchain,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Segurança de Internet das Coisas (IoT),"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Segurança de Redes de Computadores,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Segurança em Engenharia de Software,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Segurança em Inteligência Artificial,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/790288
Laboratório MídiaCom;Certificado;2003;Debora Christina Muchaluat Saade;Universidade Federal Fluminense - UFF;;Ciências Exatas e da Terra, Ciência da Computação;RJ;O Laboratório MídiaCom tem como finalidade principal oferecer suporte à pesquisa e desenvolvimento de projetos na área de Redes de Computadores e Sistemas Multimídia, com ênfase em Redes sem Fio, TV Digital Interativa, Internet das Coisas, Internet do Futuro, Cidades Inteligentes, Redes Elétricas Inteligentes e Saúde Digital. O laboratório desenvolve atividades relacionadas ao Programa de Pós-graduação em Computação e ao Programa de Pós-graduação em Engenharia Elétrica e de Telecomunicações da UFF.;{"Nome":Inteligência Artificial,"Q_Estudantes":8,"Q_Pesquisadores":8}|{"Nome":Análise de redes complexas,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Cidades Inteligentes,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Computação Distribuída,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Computação em Nuvem, em Névoa e na Borda,"Q_Estudantes":7,"Q_Pesquisadores":6}|{"Nome":Internet das Coisas,"Q_Estudantes":8,"Q_Pesquisadores":12}|{"Nome":Multimídia,"Q_Estudantes":13,"Q_Pesquisadores":3}|{"Nome":Redes de nova geração,"Q_Estudantes":4,"Q_Pesquisadores":13}|{"Nome":Redes Definidas por Software,"Q_Estudantes":2,"Q_Pesquisadores":11}|{"Nome":Redes Elétricas Inteligentes,"Q_Estudantes":3,"Q_Pesquisadores":7}|{"Nome":Redes sem Fio,"Q_Estudantes":16,"Q_Pesquisadores":10}|{"Nome":Robótica Socialmente Assistiva,"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Saúde Digital,"Q_Estudantes":7,"Q_Pesquisadores":6}|{"Nome":Segurança em Redes e Sistemas Computacionais,"Q_Estudantes":5,"Q_Pesquisadores":7};{"Nome":Transmissora Aliança de Energia Elétrica,"Sigla":TAEE,"UF":RJ};{"Formação acadêmica":Doutorado,"Pesquisadores":17,"Estudantes":20,"Técnicos":0,"Estrangeiros":1,"Total":38}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":12,"Técnicos":0,"Estrangeiros":0,"Total":12}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":1,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":15,"Técnicos":0,"Estrangeiros":0,"Total":15};http://dgp.cnpq.br/dgp/espelhogrupo/615946
LabSEC - LABORATÓRIO DE SEGURANÇA EM COMPUTAÇÃO;Certificado;1999;Ricardo Felipe Custodio;Universidade Federal de Santa Catarina - UFSC;Departamento de Informática e Estatística;Ciências Exatas e da Terra, Ciência da Computação;SC;Cada vez mais, o comércio vem sendo realizado de forma eletrônica. Progressivamente a tecnologia neste campo se desenvolveu, e a Internet tem se mostrado um meio indispensável para efetuar transações a distância. A pura e simples transmissão de mensagens, contudo, não configura uma comunicação segura, e transações podem ser facilmente interceptadas e alteradas por um estranho, para fins escusos. Posto isto, transações eletrônicas demandam algum tipo de garantia, que assegurem sua integridade - equivalente a uma autenticação comum - e também sua origem - assinatura. Atualmente, a única tecnologia capaz de assegurar confidencialidade em comunicações por via eletrônica, e de prover autenticações e assinaturas eletrônicas é a Criptografia. Esta Ciência aplica conhecimentos de diversos campos da Matemática, sobretudo das Teorias de Números e de Probabilidades.;{"Nome":Blockchain,"Q_Estudantes":7,"Q_Pesquisadores":1}|{"Nome":Criptografia pós-quântica,"Q_Estudantes":6,"Q_Pesquisadores":2}|{"Nome":Criptomoedas,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Identidade Eletrônica (IdE),"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Infraestrutura de Chaves Públicas (ICP),"Q_Estudantes":8,"Q_Pesquisadores":2}|{"Nome":Segurança em Computação,"Q_Estudantes":33,"Q_Pesquisadores":2}|{"Nome":Segurança em Redes de Computadores,"Q_Estudantes":1,"Q_Pesquisadores":1};{"Nome":Financiadora de Estudos e Projetos,"Sigla":FINEP,"UF":RJ}|{"Nome":Rede Nacional de Ensino e Pesquisa,"Sigla":RNP,"UF":RJ}|{"Nome":Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"Sigla":CAPES,"UF":DF}|{"Nome":BRY Tecnologia,"Sigla":BRY,"UF":SC}|{"Nome":Agência Nacional de Vigilância Sanitária,"Sigla":ANVISA,"UF":DF}|{"Nome":Royal Society,"Sigla":RS,"UF":}|{"Nome":Conselho Nacional de Desenvolvimento Científico e Tecnológico,"Sigla":CNPq,"UF":DF}|{"Nome":Instituto Nacional de Tecnologia da Informação,"Sigla":ITI,"UF":DF}|{"Nome":Kryptus Tecnologias,"Sigla":KRYPTUS,"UF":SP}|{"Nome":Companhia de Informatica do Parana Celepar,"Sigla":CELEPAR,"UF":PR}|{"Nome":Companhia de Tecnologia da Informação do Estado de Minas Gerais,"Sigla":PRODEMGE,"UF":MG};{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":10}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":36,"Técnicos":0,"Estrangeiros":0,"Total":36}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/472038
LACE - Laboratório de Computação e Engenharia;Certificado;2017;Eduardo Oliveira Teles;Instituto Federal da Bahia - IFBA;;Ciências Exatas e da Terra, Ciência da Computação;BA;O LACE é um grupo de pesquisa interdisciplinar destinado aos estudos da aplicação da Computação e da Engenharia na Educação, Saúde, Indústria e Negócios. Através das linhas de pesquisa, a equipe busca entender como a aplicação de novas técnicas, metodologias e ferramentas podem melhorar processos nas respectivas áreas de atuação. Atualmente, o grupo já possui projetos e ações em andamento nas linhas de pesquisa e conta com parcerias de outros grupos de pesquisa e instituições, além de executar/apoiar a realização de cursos de extensão e eventos, tais como o Latin-American Workshop on Computational Neuroscience (www.inf.ufrgs.br/lawcn/). Através do Circuito da Aprendizagem, temas diversos são apresentados e discutidos mensalmente, direcionando as pesquisas em andamento para o desenvolvimento de soluções simples e eficazes. Adicionalmente, busca-se promover cursos Lato e/ou Stricto Sensu relacionados à temática do grupo.;{"Nome":Inovação Aplicada à Indústria e aos Negócios,"Q_Estudantes":3,"Q_Pesquisadores":6}|{"Nome":Inovação em Saúde,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Tecnologias Educacionais, Inovação da Aprendizagem e Criatividade,"Q_Estudantes":0,"Q_Pesquisadores":5};{"Nome":Escola Bahiana de Medicina e Saúde Pública,"Sigla":EBMSP,"UF":BA};{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Mestrado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6};http://dgp.cnpq.br/dgp/espelhogrupo/283844
NESC - Núcleo de Estudos em Segurança e Computação Aplicada;Certificado;2021;Hugo Pereira Kuribayashi;Universidade Federal do Sul e Sudeste do Pará - UNIFESSPA;;Ciências Exatas e da Terra, Ciência da Computação;PA;;{"Nome":Aplicações de inteligência Computacional e Sociedade,"Q_Estudantes":8,"Q_Pesquisadores":2}|{"Nome":Aplicações descentralizadas baseadas em blockchain,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Planejamento de Redes de Banda Larga,"Q_Estudantes":0,"Q_Pesquisadores":2};{"Nome":Universidade Federal do Pará,"Sigla":UFPA,"UF":PA};{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/767820
NESC - Núcleo de Estudos em Segurança e Computação Aplicada;Certificado;2021;Hugo Pereira Kuribayashi;Universidade Federal do Sul e Sudeste do Pará - UNIFESSPA;;Ciências Exatas e da Terra, Ciência da Computação;PA;;{"Nome":Aplicações de inteligência Computacional e Sociedade,"Q_Estudantes":8,"Q_Pesquisadores":2}|{"Nome":Aplicações descentralizadas baseadas em blockchain,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Planejamento de Redes de Banda Larga,"Q_Estudantes":0,"Q_Pesquisadores":2};{"Nome":Universidade Federal do Pará,"Sigla":UFPA,"UF":PA};{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/1656156772362195
NetLab: Networks and Distributed Systems Lab;Certificado;2020;Alex Borges Vieira;Universidade Federal de Juiz de Fora - UFJF;;Ciências Exatas e da Terra, Ciência da Computação;MG;2020 - Equipe Vencedora da Clinical BCI Challenge - WCCI 2020, Supported by g.tec and IEEE FSTC TFs - WCC I2020. https://sites.google.com/view/bci-comp-wcci/ https://globoplay.globo.com/v/8839987/programa/;{"Nome":Blockchain,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Redes de Computadores,"Q_Estudantes":11,"Q_Pesquisadores":2}|{"Nome":Redes e Segurança em Sistemas Computacionais,"Q_Estudantes":1,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":3,"Técnicos":1,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3};http://dgp.cnpq.br/dgp/espelhogrupo/617466
Nu[TeC]² : Núcleo de estudos em Técnicas e Teoria da Computação;Certificado;2013;Karin Satie Komati;Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo - IFES;;Ciências Exatas e da Terra, Ciência da Computação;ES;A área da Ciência da Computação é dividida em 4 grandes sub-áreas: Matemática da Computação, Sistemas de Computação, Teoria da Computação e Metodologia e Técnicas da Computação. O Nu[TeC]² trabalha com estas duas últimas sub-áreas. A "Teoria da Computação" busca determinar quais problemas podem ser computados em um dado modelo de computação, estudando os modelos de computação genéricos, assim como os limites da computação. Já a "Tecnologia da Computação" envolve a aplicação de técnicas em áreas como: Banco de Dados, Computação Gráfica, Inteligência Artificial, Microprocessamento, Processamento de imagens, Rede de Computadores e Sistemas de Informação. O grupo de pesquisa possui recursos humanos em todas as diferentes áreas e trabalham de forma cooperativa para desenvolvimento de produtos e serviços realizado em projetos de pesquisa e desenvolvimento tecnológico em conjunto com empresas.;{"Nome":Estatística Aplicada e Ciência de Dados,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Analise e Reconhecimento de Padrões,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Bancos de Dados,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Blockchain,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Desenvolvimento de Jogos Digitais,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Inteligência Artificial,"Q_Estudantes":3,"Q_Pesquisadores":4}|{"Nome":Métodos Formais,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":otimização em logística,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Processamento Digital de Imagens e Visão Computacional,"Q_Estudantes":3,"Q_Pesquisadores":3}|{"Nome":Tecnologia Assistiva,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Técnicas de Computação,"Q_Estudantes":0,"Q_Pesquisadores":6};{"Nome":Universidade Federal do Espírito Santo,"Sigla":UFES,"UF":ES}|{"Nome":Arcelormittal Tubarão Comercial,"Sigla":ARCELORMITTAL,"UF":ES};{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/36297
Núcleo de Direito Digital e Disrupção ND3;Certificado;2022;Leandro Oliveira Gobbo;INSTITUTO BRASILEIRO DE ENSINO, DESENVOLVIMENTO E PESQUISA - IDP;;Ciências Sociais Aplicadas, Direito;DF;O Núcleo de Direito Digital e Disrupção tem como objetivo desenvolver estudos acadêmicos sobre inovação e tecnologia analisadas a partir do Direito e quanto aos seus impactos nas relações e sistemas jurídicos, especialmente na forma de artigos científicos para publicação em revistas nacionais e internacionais. Smart contracts, blockchain, criptoativos, inteligência artificial, DeFi e outras tecnologias potencialmente disruptivas serão analisadas em relação à sua contribuição e dissonância nas dimensões essenciais do Direito, na transformação da sociedade e na criação e solução de problemas jurídicos complexos, a partir da premissa de que as instituições existentes podem falhar diante da metamorfose acelerada do mundo decorrente de novos quadros de referência.;{"Nome":Disrupção de Institutos Tradicionais do Direito Civil,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Tecnologia e Direito,"Q_Estudantes":1,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/782263
Núcleo de Direito Digital e Disrupção ND3;Certificado;2022;Leandro Oliveira Gobbo;INSTITUTO BRASILEIRO DE ENSINO, DESENVOLVIMENTO E PESQUISA - IDP;;Ciências Sociais Aplicadas, Direito;DF;O Núcleo de Direito Digital e Disrupção tem como objetivo desenvolver estudos acadêmicos sobre inovação e tecnologia analisadas a partir do Direito e quanto aos seus impactos nas relações e sistemas jurídicos, especialmente na forma de artigos científicos para publicação em revistas nacionais e internacionais. Smart contracts, blockchain, criptoativos, inteligência artificial, DeFi e outras tecnologias potencialmente disruptivas serão analisadas em relação à sua contribuição e dissonância nas dimensões essenciais do Direito, na transformação da sociedade e na criação e solução de problemas jurídicos complexos, a partir da premissa de que as instituições existentes podem falhar diante da metamorfose acelerada do mundo decorrente de novos quadros de referência.;{"Nome":Disrupção de Institutos Tradicionais do Direito Civil,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Tecnologia e Direito,"Q_Estudantes":1,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/5586726663632876
Observatório Regional de Logística;Certificado;2016;Paulo Sérgio de Arruda Ignácio;Universidade Estadual de Campinas - UNICAMP;;Engenharias, Engenharia de Produção;SP;O Laboratório será voltado a desenvoler pesquisa e consolidação de dados na área de Engenharia de Produção, direcionando seus esforços no desenvolvimento de trabalhos e agrupamento de links e dados sobre a gestão da cadeia de suprimentos, produção e logística, com o objetivo de facilitar e incentivar a pesquisa em Planejamento, Projeto e Desenvolvimento da Logística e Cadeias Produtivas. Ele está vinculado ao CENPRO - Centro de Pesquisa em Engenharia de Produção https://cenprofca.wixsite.com/cenpro;{"Nome":Desempenho em logística e cadeia de suprimentos,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Gestão de projetos tecnologias em integração de cadeias produtivas,"Q_Estudantes":5,"Q_Pesquisadores":2}|{"Nome":Lean Healthcare,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Lean Logistics,"Q_Estudantes":2,"Q_Pesquisadores":2}|{"Nome":Sistemas produtivos,"Q_Estudantes":2,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/501737
Segurança Cibernética e da Informação;Certificado;2021;Fernando Antonio Aires Lins;Universidade Federal Rural de Pernambuco - UFRPE;;Ciências Exatas e da Terra, Ciência da Computação;PE;;{"Nome":Blockchain,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Gestão da Segurança da Informação,"Q_Estudantes":9,"Q_Pesquisadores":3}|{"Nome":Privacidade e LGPD,"Q_Estudantes":4,"Q_Pesquisadores":2}|{"Nome":Segurança em Internet das Coisas,"Q_Estudantes":8,"Q_Pesquisadores":3};{"Nome":Universidade Federal de Pernambuco,"Sigla":UFPE,"UF":PE};{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":8};http://dgp.cnpq.br/dgp/espelhogrupo/7212973355903291
Sistema Financeiro Nacional: negócios e regulação;Certificado - Não-atualizado há mais de 12 meses;2014;Rubia Carneiro Neves ;Universidade Federal de Minas Gerais - UFMG;;Ciências Sociais Aplicadas, Direito;MG;Propõe-se a compreender os objetivos da regulação do Sistema Financeiro Nacional e em que medida há harmonia entre os institutos jurídicos privados e públicos relativamente à eficácia para alcançar os objetivos identificados, a partir dos ditames constitucionais aplicáveis. Com observância dos contornos da Declaração de Direitos de Liberdade Econômica, do exame dos sujeitos e instrumentos jurídicos - atos e negócios jurídicos, títulos de crédito, títulos e valores mobiliários - que utilizam para se dedicar ao exercício profissional da atividade de intermediação de recursos financeiros no âmbito do Sistema Financeiro Nacional e Internacional, sua regulação estatal e autorregulação, a pesquisa abrange também Sistema de Crédito Cooperativo, Sistema Financeiro Digital, Sistema de Pagamentos Brasileiro (SPB), moeda e tecnologia Blockchain, regulação judicante, processo administrativo sancionador, Marco Legal Punitivo do SFN e identificação de autênticos bens jurídicos penais.;{"Nome":Poder, Cidadania e Desenvolvimento no Estado Democrático de Direito,"Q_Estudantes":14,"Q_Pesquisadores":9};;{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":14}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":6,"Técnicos":0,"Estrangeiros":0,"Total":6};http://dgp.cnpq.br/dgp/espelhogrupo/39382
